spec,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
S11111,1.945181655320673,2.8971951986281796,2.9831143279172823,3.102835083384805,3.1251506849315067,3.224630119316349,3.283358341559724,3.382269387755102,3.416736842105263,3.6793203883495145,0.444892012,0.736292027,0.004082446,0.040296221,0.055770742,0.02417468,1.524161596,0.048585222,0.043537962,0.535469402
S11111,1.994805319541928,2.8380804020100503,3.042867673716012,3.0850708806382325,3.1557677053824364,3.2518046875,3.381236994219653,3.440153206239168,3.4792509652509653,3.735002277904328,0.517661415,0.356766961,0.410945912,0.161695113,0.161675387,0.000757004,1.473088538,0.003575997,0.037802536,0.149697326
S11111,1.9377674750356633,2.876224489795918,2.946242353626565,3.0909667896678967,3.2162996784565916,3.335494976557267,3.3967969924812027,3.4969466996117187,3.5979606557377046,3.686805389221557,0.344008275,0.451955745,0.094912688,0.237090363,0.00666483,0.007860943,0.632203136,0.907428958,0.466588165,0.020677461
S11111,1.8933447737909517,2.848560134566863,2.9207424286126336,2.9870153846153844,3.181651842439644,3.4337315807679,3.4530769230769227,3.478151578947368,3.5535573122529645,3.7234619750283766,0.518371627,0.636648494,0.025695023,0.07125992,0.134825079,0.021662424,0.105535356,1.67555181,0.165695456,0.011763971
S11111,1.7841556307394875,2.646678350515464,2.7599080584099513,2.917775280898876,3.0576136087484813,3.140812773951158,3.2584411092985315,3.303797216699801,3.3926320819112625,3.428400552486188,0.424198625,0.565971123,0.189975756,0.038020419,0.113131212,0.259260401,0.331742145,0.765617408,0.544439143,0.025570676
S11111,1.8554068312478864,2.7385574912891983,2.890649942987457,2.978448245355352,3.0867528400368434,3.139938028169014,3.1469513649199876,3.3106735303885753,3.4737617379117034,3.5329446626204923,0.634539184,0.225171011,0.429878845,0.041210603,0.121746802,0.039652103,0.034338145,1.331007253,0.023800617,0.33034591
S11111,2.0639815242494226,2.890649942987457,3.0412391304347826,3.1113754646840146,3.173567944250871,3.3018384105960266,3.4020191715166033,3.463929444638491,3.6968378378378377,3.7311467576791806,0.716386352,0.197351871,0.528826002,0.158620216,0.239839706,0.020065177,0.020786756,1.298298897,0.035831782,0.056013661
S11111,2.013594246217074,3.0592620060790274,3.2006952350495683,3.2423763789746913,3.2775704433497537,3.3843362831858403,3.399928156004105,3.5524051724137933,3.579115537848605,3.809962747380675,0.661861441,0.913406881,0.017975762,0.024831858,0.042230301,0.241519293,1.219793401,0.006274835,0.029333063,0.282347374
S11111,2.089142355008787,2.9823354991139985,3.1347010309278347,3.1673122629582804,3.335494976557267,3.363793103448276,3.438009698649117,3.495834862385321,3.563963950973324,3.719632653061224,0.648596325,0.749956566,0.198842279,0.02265169,0.380055825,0.805299419,0.023750596,0.018133245,0.010931796,0.50904838
S11111,1.826615690827666,2.596789712556732,2.989361563517915,3.0884368663594466,3.161084200567644,3.3077226277372267,3.3415140939597316,3.4083094339622644,3.5249999999999995,3.6644505576208175,0.511022721,0.431483027,0.059337845,0.000371752,0.056687131,1.688706617,0.36837644,0.021532982,0.080370214,0.159070381
